
Command	                               Description
git init	                       Initialize a local Git repository
git clone repo_url	               Clone public repository
git status	                       Check status
git add [file-name]	               Add a file to the staging area
git commit -m "[commit message]"       Commit changes
git branch	                       List of branches (the asterisk denotes the current branch)
git branch [branch name]	       Create a new branch
git branch -d [branch name]	       Delete a branch
git checkout [branch name]	       Switch to a branch
git merge [branch name]	               Merge a branch into the active branch
git push	                       Push changes to remote repository (remembered branch)

